iter	Passed	Remaining
409	4190	6029
410	4199	6017
411	4209	6007
412	4218	5996
413	4227	5983
414	4236	5971
415	4245	5959
416	4257	5951
417	4268	5942
418	4278	5932
419	4286	5920
420	4297	5910
421	4308	5901
422	4319	5891
423	4327	5879
424	4338	5869
425	4347	5857
426	4356	5845
427	4365	5834
428	4375	5823
429	4385	5812
430	4393	5800
431	4404	5791
432	4415	5781
433	4423	5768
434	4432	5757
435	4441	5745
436	4451	5734
437	4462	5726
438	4471	5713
439	4480	5702
440	4489	5690
441	4498	5679
442	4508	5668
443	4516	5656
444	4526	5645
445	4536	5634
446	4547	5625
447	4556	5613
448	4564	5601
449	4574	5590
450	4584	5580
451	4593	5569
452	4604	5560
453	4614	5549
454	4623	5538
455	4634	5529
456	4643	5517
457	4653	5506
458	4663	5497
459	4673	5486
460	4683	5475
461	4692	5464
462	4701	5453
463	4710	5441
464	4718	5429
465	4727	5417
466	4735	5404
467	4744	5393
468	4752	5380
469	4761	5369
470	4770	5358
471	4779	5346
472	4789	5336
473	4800	5326
474	4810	5317
475	4819	5305
476	4828	5294
477	4839	5285
478	4849	5274
479	4859	5264
480	4869	5253
481	4878	5242
482	4886	5230
483	4896	5220
484	4904	5208
485	4914	5197
486	4923	5186
487	4931	5174
488	4942	5164
489	4951	5153
490	4961	5143
491	4971	5133
492	4981	5122
493	4989	5111
494	4999	5100
495	5010	5091
496	5021	5082
497	5030	5071
498	5040	5060
499	5049	5049
500	5060	5040
501	5070	5030
502	5081	5020
503	5090	5010
504	5100	4999
505	5109	4987
506	5117	4975
507	5128	4966
508	5136	4955
509	5145	4944
510	5154	4932
511	5163	4921
512	5171	4909
513	5180	4898
514	5189	4887
515	5199	4876
516	5208	4865
517	5217	4854
518	5227	4845
519	5236	4833
520	5244	4821
521	5253	4811
522	5267	4803
523	5275	4792
524	5284	4781
525	5295	4772
526	5304	4761
527	5313	4749
528	5322	4739
529	5331	4727
530	5340	4717
531	5348	4705
532	5357	4693
533	5367	4684
534	5376	4673
535	5386	4663
536	5397	4653
537	5407	4643
538	5415	4632
539	5425	4621
540	5435	4611
541	5444	4601
542	5453	4589
543	5462	4578
544	5520	4608
545	5533	4600
546	5547	4593
547	5557	4584
548	5567	4573
549	5577	4563
550	5586	4552
551	5595	4541
552	5606	4531
553	5613	4519
554	5622	4508
555	5631	4496
556	5640	4486
557	5651	4476
558	5659	4465
559	5670	4455
560	5681	4445
561	5692	4436
562	5704	4427
563	5718	4420
564	5730	4411
565	5741	4402
566	5755	4395
567	5765	4384
568	5778	4376
569	5789	4367
570	5798	4356
571	5809	4346
572	5819	4336
573	5827	4324
574	5836	4314
575	5846	4303
576	5855	4292
577	5867	4284
578	5879	4274
579	5889	4264
580	5898	4253
581	5909	4244
582	5918	4233
583	5927	4222
584	5936	4211
585	5945	4200
586	5956	4190
587	5966	4180
588	5974	4168
589	5983	4158
590	5994	4148
591	6003	4137
592	6013	4127
593	6023	4116
594	6032	4106
595	6042	4095
596	6053	4086
597	6065	4077
598	6076	4068
599	6088	4058
600	6097	4048
601	6108	4038
602	6119	4029
603	6131	4019
604	6142	4010
605	6154	4001
606	6166	3992
607	6178	3983
608	6187	3972
609	6203	3966
610	6213	3956
611	6225	3946
612	6235	3936
613	6248	3928
614	6260	3919
615	6270	3908
616	6281	3899
617	6292	3889
618	6302	3879
619	6311	3868
620	6323	3859
621	6331	3848
622	6342	3838
623	6352	3827
624	6360	3816
625	6370	3805
626	6380	3795
627	6390	3785
628	6398	3774
629	6408	3763
630	6416	3752
631	6425	3741
632	6435	3730
633	6447	3721
634	6456	3711
635	6464	3699
636	6473	3688
637	6483	3678
638	6492	3667
639	6503	3657
640	6512	3647
641	6522	3637
642	6531	3626
643	6539	3615
644	6548	3603
645	6557	3593
646	6565	3582
647	6574	3571
648	6584	3561
649	6596	3551
650	6605	3541
651	6613	3530
652	6622	3519
653	6631	3508
654	6640	3497
655	6650	3487
656	6660	3477
657	6671	3467
658	6681	3457
659	6690	3446
660	6702	3437
661	6712	3427
662	6721	3416
663	6731	3406
664	6741	3395
665	6749	3385
666	6759	3374
667	6767	3363
668	6776	3352
669	6785	3341
670	6794	3331
671	6803	3320
672	6812	3309
673	6822	3299
674	6831	3289
675	6840	3278
676	6849	3268
677	6859	3257
678	6869	3247
679	6878	3236
680	6888	3226
681	6898	3216
682	6935	3219
683	7009	3238
684	7203	3312
685	7248	3317
686	7261	3308
687	7270	3297
688	7281	3286
689	7293	3276
690	7303	3266
691	7317	3256
692	7328	3246
693	7339	3236
694	7352	3226
695	7364	3216
696	7375	3206
697	7385	3195
698	7397	3185
699	7408	3175
700	7421	3165
701	7435	3156
702	7446	3145
703	7455	3134
704	7463	3123
705	7473	3111
706	7481	3100
707	7493	3090
708	7502	3079
709	7510	3067
710	7520	3056
711	7528	3045
712	7537	3033
713	7549	3023
714	7560	3013
715	7571	3003
716	7581	2992
717	7592	2981
718	7602	2971
719	7612	2960
720	7623	2950
721	7634	2939
722	7646	2929
723	7656	2918
724	7665	2907
725	7674	2896
726	7683	2885
727	7692	2874
728	7701	2863
729	7710	2851
730	7718	2840
731	7727	2829
732	7737	2818
733	7748	2807
734	7758	2797
735	7768	2786
736	7780	2776
737	7788	2765
738	7798	2754
739	7809	2743
740	7818	2732
741	7831	2723
742	7842	2712
743	7852	2701
744	7861	2690
745	7872	2680
746	7884	2670
747	7896	2660
748	7906	2649
749	7918	2639
750	7930	2629
751	7941	2618
752	7954	2609
753	7964	2598
754	7975	2588
755	7986	2577
756	7998	2567
757	8009	2557
758	8020	2546
759	8031	2536
760	8042	2525
761	8050	2514
762	8059	2503
763	8070	2492
764	8078	2481
765	8088	2470
766	8097	2459
767	8106	2448
768	8114	2437
769	8124	2426
770	8134	2416
771	8145	2405
772	8154	2394
773	8163	2383
774	8175	2373
775	8185	2362
776	8195	2352
777	8205	2341
778	8214	2330
779	8224	2319
780	8235	2309
781	8244	2298
782	8254	2287
783	8263	2276
784	8272	2265
785	8280	2254
786	8290	2243
787	8299	2232
788	8309	2222
789	8320	2211
790	8332	2201
791	8341	2190
792	8350	2179
793	8362	2169
794	8371	2158
795	8382	2148
796	8391	2137
797	8401	2126
798	8410	2115
799	8424	2106
800	8435	2095
801	8445	2085
802	8456	2074
803	8467	2064
804	8479	2053
805	8491	2043
806	8502	2033
807	8515	2023
808	8528	2013
809	8540	2003
810	8554	1993
811	8566	1983
812	8575	1972
813	8585	1961
814	8595	1951
815	8608	1941
816	8617	1930
817	8627	1919
818	8639	1909
819	8651	1899
820	8664	1889
821	8675	1878
822	8687	1868
823	8698	1857
824	8707	1846
825	8718	1836
826	8727	1825
827	8737	1815
828	8746	1804
829	8758	1793
830	8768	1783
831	8777	1772
832	8786	1761
833	8799	1751
834	8808	1740
835	8817	1729
836	8829	1719
837	8839	1708
838	8850	1698
839	8862	1688
840	8873	1677
841	8883	1666
842	8893	1656
843	8906	1646
844	8917	1635
845	8927	1625
846	8939	1614
847	8951	1604
848	8963	1594
849	8974	1583
850	8985	1573
851	8996	1562
852	9007	1552
853	9020	1542
854	9031	1531
855	9041	1521
856	9053	1510
857	9063	1500
858	9073	1489
859	9083	1478
860	9093	1468
861	9104	1457
862	9117	1447
863	9129	1437
864	9138	1426
865	9148	1415
866	9156	1404
867	9166	1393
868	9175	1383
869	9185	1372
870	9196	1362
871	9206	1351
872	9217	1340
873	9227	1330
874	9237	1319
875	9247	1309
876	9259	1298
877	9271	1288
878	9279	1277
879	9288	1266
880	9299	1256
881	9309	1245
882	9320	1234
883	9331	1224
884	9341	1213
885	9350	1203
886	9359	1192
