iter	RMSE
257	0.5847747059
258	0.5840541189
259	0.5836586674
260	0.5832303027
261	0.5826763629
262	0.5823557539
263	0.5819157674
264	0.5816690509
265	0.5811704434
266	0.58054814
267	0.5800625104
268	0.5796797316
269	0.5791046311
270	0.5785858669
271	0.5782456951
272	0.5777913709
273	0.5773205605
274	0.5769564839
275	0.576465853
276	0.5761067877
277	0.57571884
278	0.5752588531
279	0.5748708278
280	0.5743224697
281	0.5739751955
282	0.57355268
283	0.5730321253
284	0.5726756076
285	0.5723515637
286	0.5719419707
287	0.5714756894
288	0.5710687101
289	0.5707043362
290	0.570303984
291	0.5701014716
292	0.5696454665
293	0.5693997227
294	0.5691337879
295	0.5687444978
296	0.5683880078
297	0.5681225424
298	0.5677686804
299	0.5674169338
300	0.5669260481
301	0.5663526447
302	0.5659400965
303	0.5655228222
304	0.565161508
305	0.56476324
306	0.5644020625
307	0.5638798486
308	0.5634538382
309	0.5631406072
310	0.5628286581
311	0.5626234663
312	0.5622971135
313	0.561725872
314	0.5613738164
315	0.5610053912
316	0.5607407059
317	0.5603973343
318	0.560042311
319	0.5595763133
320	0.5593478408
321	0.5591110388
322	0.55867822
323	0.5582937536
324	0.5579675721
325	0.5576213747
326	0.5572302288
327	0.5568650079
328	0.5565993703
329	0.5563179461
330	0.5559945464
331	0.5556706661
332	0.5554402585
333	0.5551450338
334	0.5548832723
335	0.5545141079
336	0.5540898551
337	0.5536265733
338	0.5533313637
339	0.5529237016
340	0.5526150075
341	0.5523842195
342	0.5520258004
343	0.5517050767
344	0.5513663215
345	0.5511722955
346	0.5508585636
347	0.5505565432
348	0.5503637495
349	0.5500966642
350	0.5498184329
351	0.5494160583
352	0.5492049706
353	0.5489460083
354	0.5486530234
355	0.548499237
356	0.548198558
357	0.5479279433
358	0.5477000127
359	0.5474492706
360	0.5471272438
361	0.546787183
362	0.5464248303
363	0.5461270723
364	0.5458745101
365	0.5456540566
366	0.5453884784
367	0.5451993095
368	0.5449031333
369	0.5446304577
370	0.544414946
371	0.5441417562
372	0.5437722749
373	0.5435359811
374	0.5432659482
375	0.5430036361
376	0.542708668
377	0.5424102854
378	0.5421532159
379	0.5418324867
380	0.5415916143
381	0.5413041588
382	0.5410026501
383	0.5407238653
384	0.540535547
385	0.5403781849
386	0.5401194127
387	0.5399038643
388	0.5396683003
389	0.5393923702
390	0.5390639803
391	0.5388800146
392	0.5385077372
393	0.5382577126
394	0.5379838581
395	0.537781123
396	0.5374470974
397	0.5371804776
398	0.5370101566
399	0.5367368609
400	0.5364842957
401	0.5361978884
402	0.5359614559
403	0.5356911327
404	0.5354420037
405	0.5351729648
406	0.5349224089
407	0.5346979805
408	0.5344300874
409	0.5343053193
410	0.5340631944
411	0.5338187857
412	0.5335433858
413	0.5333561634
414	0.5331988379
415	0.532998847
416	0.5326411207
417	0.5323744158
418	0.5322211779
419	0.5320218571
420	0.5318026505
421	0.5314737624
422	0.531123228
423	0.5309398772
424	0.5306367823
425	0.530468777
426	0.5302565989
427	0.5300413392
428	0.529722366
429	0.5294539635
430	0.5290554229
431	0.5288677271
432	0.5285912529
433	0.5283810328
434	0.5281808754
435	0.5280117014
436	0.5276286482
437	0.5273408569
438	0.5271153475
439	0.5268629251
440	0.5266281713
441	0.5263949761
442	0.5261887314
443	0.5260116191
444	0.5257977428
445	0.5256004314
446	0.5252919776
447	0.5250114731
448	0.5247155456
449	0.5245059043
450	0.5242888012
451	0.5241154058
452	0.5239330485
453	0.5234655993
454	0.523267733
455	0.522986998
456	0.5227719446
457	0.5225201471
458	0.5223276157
459	0.5221260046
460	0.5219840263
461	0.521808532
462	0.5216155593
463	0.5214695056
464	0.5212594171
465	0.5210483481
466	0.5208134404
467	0.5205957377
468	0.5203962528
469	0.5202139469
470	0.5200422369
471	0.5198764531
472	0.519738578
473	0.5195320733
474	0.5193192977
475	0.5191108784
476	0.5188908345
477	0.518753053
478	0.5183055982
479	0.5181053425
480	0.51793079
481	0.51771288
482	0.5175482985
483	0.517387569
484	0.5172021729
485	0.5170435108
486	0.5168433239
487	0.516635485
488	0.5163517989
489	0.5161205772
490	0.5159211046
491	0.5155893375
492	0.5154010592
493	0.5152226732
494	0.5150478293
495	0.5147881552
496	0.5145960125
497	0.5143969164
498	0.5141065649
499	0.5139420257
500	0.5138061789
501	0.5136048622
502	0.5134375633
503	0.5132723347
504	0.51311022
505	0.5129121829
506	0.5127487553
507	0.5125826894
508	0.5124813867
509	0.512369075
510	0.5121611109
511	0.5119824597
512	0.5118455834
513	0.5116770153
514	0.5114545526
515	0.5112832242
516	0.5111228916
517	0.5109219351
518	0.5106882874
519	0.5105317108
520	0.5103531652
521	0.5102552423
522	0.5100613747
523	0.5098947392
524	0.5097338118
525	0.5095330251
526	0.5092423919
527	0.5091119373
528	0.5089863239
529	0.5087273834
530	0.5085704644
531	0.508420657
532	0.508221035
533	0.5079682227
534	0.5077960602
535	0.5076404561
536	0.5073891078
537	0.5072122042
538	0.5070529897
539	0.5068903988
540	0.5066561496
541	0.5064865731
542	0.5063452225
543	0.5062321701
544	0.5060562985
545	0.5059158712
546	0.5057596344
547	0.5056381452
548	0.5054582976
549	0.5049061382
550	0.5047365157
551	0.5045967712
552	0.5043698538
553	0.5042184764
554	0.5040619466
555	0.5039416386
556	0.5038383118
557	0.503684114
558	0.5035909997
559	0.5034179352
560	0.5032899455
561	0.5031337154
562	0.5029822877
563	0.5028138206
564	0.5026630303
565	0.5025093825
566	0.5023860786
567	0.5022404783
568	0.5020983657
569	0.5018459179
570	0.501635997
571	0.5014515147
572	0.5012691136
573	0.5011005926
574	0.5009124425
575	0.5007734025
576	0.5006245516
577	0.5003734624
578	0.5002147791
579	0.5000951828
580	0.4999689442
581	0.499802997
582	0.4994779113
583	0.4992900881
584	0.4991284719
585	0.4990152933
586	0.4988328971
587	0.4985498366
588	0.4984339457
589	0.4982867504
590	0.4980623441
591	0.4979167907
592	0.4977998945
593	0.4975764056
594	0.4974795469
595	0.4973732778
596	0.4972603758
597	0.4971203168
598	0.4969694716
599	0.4968206516
600	0.496679563
601	0.4964719954
602	0.4963337372
603	0.4958985936
604	0.4957476134
605	0.4956343916
606	0.4955385716
607	0.4953973381
608	0.49526936
609	0.4951332794
610	0.4949910636
611	0.4947822095
612	0.494635668
613	0.4944402224
614	0.494270709
615	0.4941861685
616	0.4940407778
617	0.4939066701
618	0.4937451215
619	0.4935980174
620	0.4933825299
621	0.4933002637
622	0.4931318547
623	0.4930355761
624	0.4929076779
625	0.4927807724
626	0.4925808046
627	0.4924621013
628	0.4923101536
629	0.4921384874
630	0.4920123249
631	0.4919367955
632	0.4917803262
633	0.4916077273
634	0.4914745546
635	0.4913498563
636	0.4912541633
637	0.4909223948
638	0.4907702525
639	0.4905773592
640	0.4902278982
641	0.4900829419
642	0.4899470384
643	0.4898234445
644	0.48969305
645	0.4895415244
646	0.4894707291
647	0.4893474559
648	0.4892315127
649	0.4891231642
650	0.4890131143
651	0.4888553725
652	0.4886956421
653	0.4885716685
654	0.4884585074
655	0.4883547344
656	0.4882135723
657	0.4880801468
658	0.4876279788
659	0.4875149481
660	0.487398296
661	0.4872551997
662	0.4870881409
663	0.4869031049
664	0.4867591287
665	0.486624946
666	0.4865067955
667	0.4863829421
668	0.4862600579
669	0.4861514471
670	0.4860731056
671	0.4859667509
672	0.4858214057
673	0.4856253536
674	0.4855056386
675	0.4853869274
676	0.4852596398
677	0.4851481561
678	0.4850192547
679	0.4848759591
680	0.4847280733
681	0.4845697288
682	0.4844187909
683	0.4843320562
684	0.4842427898
685	0.4840865756
686	0.4838828529
687	0.4837754598
688	0.4836696091
689	0.4835581442
690	0.4834544304
691	0.4832943755
692	0.4832175569
693	0.4830875283
694	0.4829689035
695	0.4828625254
696	0.4827431812
697	0.4826400048
698	0.482518062
699	0.4824218605
700	0.4822944314
701	0.4821246582
702	0.4820007228
703	0.4819036691
704	0.4818261342
705	0.4817112649
706	0.4815410793
707	0.4814020188
708	0.4812942635
709	0.4811829014
710	0.4810670208
711	0.4809377175
712	0.4808170751
713	0.4806980453
714	0.4805839218
715	0.4804888922
716	0.4803477513
717	0.4801777694
718	0.4799145699
719	0.4798193087
720	0.4796943102
721	0.4795614211
722	0.4794774021
723	0.479382473
724	0.4792816045
725	0.4791595866
726	0.4790848828
727	0.4789737263
728	0.4786184527
729	0.4785199037
730	0.4784176004
731	0.4782386873
732	0.4779032653
733	0.4778158743
734	0.4777112305
735	0.4775601017
736	0.4774043883
737	0.4772645929
738	0.477152915
739	0.4770266937
740	0.4769113915
741	0.4766352847
742	0.4765300559
743	0.4764394629
744	0.4762404478
745	0.4761001723
746	0.4759923212
747	0.4758157888
748	0.4756492393
749	0.4755624893
750	0.4753921597
751	0.4750292223
752	0.474903658
753	0.4748061846
754	0.4746874675
755	0.4745441701
756	0.4743735279
757	0.4742586395
758	0.474089318
759	0.4739992312
760	0.4738737621
761	0.4737536741
762	0.473654923
763	0.473532265
764	0.4734235864
765	0.4733260064
766	0.473235712
767	0.4731332252
768	0.4730566413
769	0.4729187048
770	0.4727919478
771	0.4725261983
772	0.4724515404
773	0.4723607285
774	0.4722152867
775	0.4721284954
776	0.4720306502
777	0.4719212204
778	0.4718220501
779	0.4717114235
780	0.4715909212
781	0.4714920788
782	0.4713969079
783	0.4713134459
784	0.4712204762
785	0.4711445748
786	0.4710178376
787	0.4709260143
788	0.4707846515
789	0.4706415726
790	0.4705302558
791	0.4704246894
792	0.4703245676
793	0.4702460718
794	0.4701296327
795	0.4700111493
796	0.4699183463
797	0.4697918885
798	0.4696902594
799	0.469547232
800	0.4694672244
801	0.4693590487
802	0.4692740838
803	0.4691166193
804	0.4690052238
805	0.4688902509
806	0.4688450119
807	0.4687331713
808	0.4686492624
809	0.4685620887
810	0.4684551621
811	0.4683488029
812	0.4682656766
813	0.4681675861
814	0.4681120616
815	0.4679923226
816	0.4679005352
817	0.4678119332
818	0.4677253606
819	0.4676176285
820	0.4675208154
821	0.467420667
822	0.4672634056
823	0.4671494896
824	0.4670492942
825	0.4669612424
826	0.4668678486
827	0.4667318885
828	0.466544611
829	0.46645523
830	0.466353505
831	0.4662416873
832	0.4661502311
833	0.4660541111
834	0.4659597447
835	0.4658557948
836	0.4657759478
837	0.4657018613
838	0.4656008296
839	0.4653614363
840	0.4651800881
841	0.4650969512
842	0.4649998908
843	0.4648781417
844	0.464794773
845	0.4647131966
846	0.4646373127
847	0.464330235
848	0.4641594182
849	0.4640772498
850	0.463992252
851	0.4638827608
852	0.4637839133
853	0.4635394935
854	0.4634340181
855	0.4633551293
856	0.4632709788
857	0.4631821331
858	0.4630919522
859	0.4630064896
860	0.462923859
861	0.4628447513
862	0.4626293063
863	0.4625083279
864	0.4624188211
865	0.4623378108
866	0.4622565403
867	0.4621460301
868	0.4620600983
869	0.4619568597
870	0.4617707386
871	0.4617052457
872	0.4615873457
873	0.4614075066
874	0.4612990825
875	0.4611904526
876	0.4610765055
877	0.4609689269
878	0.4608929656
879	0.4608057145
880	0.460731519
881	0.4606157354
882	0.4605232643
883	0.4604280607
884	0.4603397417
885	0.4602595012
886	0.460176422
887	0.4601213031
888	0.4600161588
889	0.4599449637
890	0.4597793411
891	0.4596671214
892	0.4595870534
893	0.4594773803
894	0.4594014168
895	0.459351523
896	0.4592570315
897	0.4591593855
898	0.4590824204
899	0.4589926845
900	0.4588572687
901	0.458785208
902	0.4586864007
903	0.4586036853
904	0.4585176964
905	0.4584314984
906	0.4583187318
907	0.4582064985
908	0.4581362175
909	0.4580059841
910	0.4578885896
911	0.4578219819
912	0.4576395669
913	0.4575558224
914	0.4574688475
915	0.4573990634
916	0.4573171688
917	0.4572245493
918	0.4570892483
919	0.4570091499
920	0.4569380773
921	0.4568806492
922	0.4568059355
923	0.4567497717
924	0.456667831
925	0.4565886799
926	0.4564962163
927	0.456424277
928	0.4563139729
929	0.4562191522
930	0.4561385705
931	0.456062536
932	0.4559206843
933	0.4558747773
934	0.4557961316
935	0.4556626741
936	0.4555938417
937	0.4555278877
938	0.4554328416
939	0.4553655477
940	0.4552833256
941	0.455180261
942	0.4550835606
943	0.4550170983
944	0.4549480122
945	0.4548664826
946	0.4547793143
947	0.4547059777
948	0.4545452184
949	0.4544949977
950	0.4544327367
951	0.4543550139
952	0.454207263
953	0.454142077
954	0.4540746293
955	0.4539417085
956	0.4538854484
957	0.4538123159
958	0.4537213428
959	0.4536503526
960	0.4535595745
961	0.453488753
962	0.4533917007
963	0.4532940133
964	0.4530871861
965	0.4529830562
966	0.4528666818
967	0.4528039236
968	0.4527262532
969	0.4526779018
970	0.4525937757
971	0.4524539145
972	0.4523290256
973	0.4522649303
974	0.4521908755
975	0.4521084458
976	0.4520180092
977	0.4519511296
978	0.4518341416
979	0.4517592478
980	0.4516742419
981	0.4515958025
982	0.4514890798
983	0.4514193723
984	0.4513201522
985	0.4512525844
986	0.4511729162
987	0.4511114548
988	0.4510366417
989	0.4509577677
990	0.4508458032
991	0.4507323277
992	0.4505951312
993	0.4505143489
994	0.4504352069
995	0.4502810057
996	0.4502027484
997	0.450146459
998	0.4500631314
999	0.4499896353
